n5_state,h_dm,w_dm,dm_joint,h_htn,w_htn,htn_joint
Andaman & Nicobar Islands,"4.9 (1.5, 8.2)","4.4 (1, 7.8)","0 (0, 0)","38.8 (30.3, 47.3)","17.6 (11.5, 23.7)","9.3 (4.3, 14.4)"
Andhra Pradesh,"10.8 (8.1, 13.4)","5.1 (3.5, 6.6)","1.5 (0.7, 2.3)","30.3 (26.9, 33.7)","19.5 (16.4, 22.6)","8.5 (6.6, 10.5)"
Arunachal Pradesh,"7 (5.1, 8.8)","3.8 (2.7, 5)","0.8 (0.3, 1.3)","41.7 (37.9, 45.5)","30.2 (26.9, 33.5)","16.3 (13.5, 19.1)"
Assam,"5.8 (4.7, 6.9)","4.4 (3.4, 5.4)","0.4 (0.1, 0.7)","26.5 (24.4, 28.6)","19 (17.1, 20.8)","7 (5.9, 8.2)"
Bihar,"6.5 (5.2, 7.8)","3.7 (2.7, 4.7)","0.8 (0.3, 1.2)","26.5 (23.7, 29.4)","21.7 (19.1, 24.3)","9.6 (7.6, 11.6)"
Chandigarh,"7.5 (0.1, 14.8)","8.8 (0.3, 17.3)","2.4 (-2.5, 7.3)","38.8 (24.4, 53.2)","28.2 (14.2, 42.2)","9.5 (1.4, 17.5)"
Chhattisgarh,"5.7 (4.4, 7.1)","2.9 (2, 3.9)","0.7 (0.2, 1.2)","33.2 (30.6, 35.8)","22.3 (20.1, 24.5)","9.3 (7.5, 11.1)"
Dadra & Nagar Haveli And Daman & Diu,"8.2 (2.8, 13.6)","0.5 (-0.1, 1)","0 (0, 0)","15.7 (8.8, 22.6)","14.2 (9.2, 19.2)","1.2 (-0.1, 2.5)"
Goa,"12.2 (5.7, 18.7)","5.7 (2.2, 9.2)","0.9 (-0.8, 2.6)","32.4 (23.4, 41.5)","15.9 (9.7, 22.2)","6.7 (2.3, 11.2)"
Gujarat,"4.1 (3.1, 5)","2.2 (1.5, 2.9)","0.1 (0, 0.3)","20.9 (18.6, 23.2)","15.7 (13.9, 17.5)","5.2 (4.1, 6.2)"
Haryana,"6.3 (4.8, 7.8)","4.5 (3.1, 5.9)","1 (0.3, 1.8)","31.8 (28.7, 34.8)","27.7 (24.4, 30.9)","11 (8.8, 13.1)"
Himachal Pradesh,"3.7 (2.2, 5.2)","3.6 (1.5, 5.7)","0.2 (-0.1, 0.5)","29.8 (25.1, 34.4)","20.8 (16.9, 24.7)","9.6 (6.8, 12.5)"
Jammu & Kashmir,"5.6 (3.8, 7.4)","6.6 (4.9, 8.2)","1 (0.1, 1.9)","24.2 (20.8, 27.6)","23.1 (19.6, 26.6)","8.7 (6.5, 11)"
Jharkhand,"7 (5.4, 8.7)","4.4 (2.9, 5.9)","1.9 (0.8, 2.9)","29 (26.3, 31.6)","19.8 (16.8, 22.9)","9 (6.8, 11.2)"
Karnataka,"7.9 (6.2, 9.6)","3.4 (2.4, 4.5)","0.6 (0.1, 1.1)","34.6 (31.5, 37.8)","17.9 (15.9, 19.9)","7.6 (6, 9.2)"
Kerala,"14.2 (11.1, 17.4)","9 (6.4, 11.7)","1.9 (0.8, 3)","32.6 (28.6, 36.6)","18.2 (14.7, 21.6)","7.3 (5.2, 9.4)"
Ladakh,"18 (7, 29.1)","15.4 (5.5, 25.4)","6.7 (-1.3, 14.6)","26.5 (15.4, 37.6)","25.4 (14.2, 36.7)","12.4 (1.1, 23.6)"
Lakshadweep,"6.1 (-1.1, 13.3)","9.5 (1.1, 17.9)","0 (0, 0)","30.5 (16.8, 44.2)","23 (12.5, 33.5)","9.3 (0.6, 18)"
Madhya Pradesh,"4.4 (3.5, 5.4)","2.4 (1.8, 3)","0.2 (0, 0.3)","27.2 (25.2, 29.2)","20 (18.3, 21.6)","7.1 (6.1, 8.1)"
Maharashtra,"6.7 (5, 8.4)","3.9 (2.7, 5)","1 (0.1, 1.8)","27.6 (24.9, 30.3)","19.2 (16.7, 21.7)","7.1 (5.2, 8.9)"
Manipur,"5.8 (3.7, 8)","2.3 (0.7, 4)","0 (0, 0)","44.7 (38.9, 50.5)","24.9 (21.2, 28.7)","13.1 (9.2, 17.1)"
Meghalaya,"2.8 (1.2, 4.4)","4.2 (1.4, 6.9)","0.3 (-0.1, 0.6)","28.9 (22.3, 35.6)","21 (15.7, 26.3)","8.6 (4.8, 12.5)"
Mizoram,"5.2 (2.2, 8.2)","4.6 (2.2, 6.9)","0.1 (-0.1, 0.3)","27.5 (20.8, 34.3)","18.4 (13.6, 23.2)","5.1 (2.5, 7.7)"
Nagaland,"4.3 (2, 6.6)","2.2 (0.7, 3.8)","0.3 (-0.1, 0.7)","35.2 (30, 40.4)","27.8 (22.7, 33)","10.9 (7.6, 14.2)"
Nct Of Delhi,"12.3 (8.7, 15.9)","3 (1.6, 4.3)","0.6 (0, 1.2)","46.7 (41.8, 51.6)","23.8 (20.1, 27.5)","12.8 (10.2, 15.4)"
Odisha,"8.2 (6.7, 9.7)","4.1 (3, 5.2)","1 (0.4, 1.6)","30.9 (28.3, 33.4)","23 (20.7, 25.3)","8.8 (7.2, 10.3)"
Puducherry,"14.7 (8.6, 20.8)","5.4 (1.2, 9.5)","3.3 (-0.3, 6.9)","32 (21.4, 42.7)","11.6 (4.9, 18.4)","3.2 (0.6, 5.9)"
Punjab,"6 (4.3, 7.6)","3.8 (2.6, 5)","0.7 (0.2, 1.1)","49.5 (46, 52.9)","38 (34.4, 41.7)","21.5 (18.4, 24.7)"
Rajasthan,"3.7 (2.9, 4.6)","2.3 (1.6, 2.9)","0.4 (0.1, 0.6)","23.1 (21, 25.1)","16.8 (15, 18.5)","6.7 (5.5, 7.9)"
Sikkim,"7.1 (2.5, 11.7)","7 (1.4, 12.6)","0.5 (-0.4, 1.4)","53.8 (41.9, 65.8)","38.1 (28.8, 47.3)","24.2 (15.5, 32.9)"
Tamil Nadu,"12.7 (10.5, 14.9)","8.8 (6.5, 11.1)","3.4 (2, 4.7)","36.3 (33.5, 39.1)","20.5 (17.7, 23.4)","10.2 (8, 12.5)"
Telangana,"11.3 (9.3, 13.2)","5.1 (3.5, 6.6)","1.2 (0.6, 1.8)","35.9 (32.9, 39)","19.3 (17.1, 21.4)","8.9 (7.3, 10.4)"
Tripura,"8.4 (4.6, 12.1)","4.2 (1.7, 6.8)","0.4 (-0.2, 0.9)","28.9 (23.7, 34)","22.5 (18.9, 26.2)","9 (5.9, 12.1)"
Uttar Pradesh,"5.1 (4.3, 5.9)","4 (3.2, 4.8)","0.8 (0.5, 1.2)","29.1 (27.5, 30.7)","24 (22.6, 25.5)","9.4 (8.4, 10.5)"
Uttarakhand,"6.9 (3.8, 10)","3.6 (1.6, 5.6)","1.6 (0.2, 3)","41.7 (37, 46.3)","25.9 (21.5, 30.3)","12.6 (8.6, 16.5)"
West Bengal,"7.8 (6.3, 9.3)","4.3 (3.2, 5.4)","0.3 (0, 0.5)","22.8 (20.2, 25.3)","18.4 (16.1, 20.8)","6 (4.4, 7.6)"
